,created_on,property_type,place_name,state_name,lat,lon,price,currency,price_aprox_usd,surface_total_in_m2,rooms,expenses,properati_url
57807,2014-04-18,house,Balcarce,|Argentina|Buenos Aires Interior|Balcarce|,-37.841759,-58.257397,,,,250.0,,,http://www.properati.com.ar/exj6_venta_casa_balcarce
57808,2014-04-18,house,Balcarce,|Argentina|Buenos Aires Interior|Balcarce|,-37.846407,-58.255458,,,,200.0,2.0,,http://www.properati.com.ar/exj7_venta_casa_balcarce
57809,2014-04-18,house,Balcarce,|Argentina|Buenos Aires Interior|Balcarce|,-37.84898,-58.245323,,,,,2.0,,http://www.properati.com.ar/exj8_venta_casa_balcarce
57810,2014-04-18,house,San Lorenzo,|Argentina|Córdoba|San Lorenzo|,-31.39893,-64.182129,450000.0,ARS,56227.5,,,,http://www.properati.com.ar/exjd_venta_casa_san-lorenzo
57811,2014-04-18,house,Punilla,|Argentina|Córdoba|Punilla|,-31.370396999999997,-64.461499,90000.0,USD,90000.0,,,,http://www.properati.com.ar/exjf_venta_casa_punilla
57812,2014-04-18,house,Balcarce,|Argentina|Buenos Aires Interior|Balcarce|,-37.840016,-58.25611800000001,150000.0,USD,150000.0,,3.0,,http://www.properati.com.ar/exjj_venta_casa_balcarce
57813,2014-04-18,apartment,Córdoba,|Argentina|Córdoba|Córdoba|,-31.413746999999997,-64.172622,890000.0,ARS,111205.51,46.0,2.0,,http://www.properati.com.ar/exjl_venta_departamento_cordoba
57814,2014-04-18,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.618859,-58.437727,300000.0,USD,300000.0,135.0,4.0,,http://www.properati.com.ar/exjm_venta_departamento_caballito
57815,2014-04-18,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.621154,-58.43376,255000.0,USD,255000.0,114.0,4.0,,http://www.properati.com.ar/exjn_venta_departamento_caballito
57816,2014-04-18,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.616667,-58.45,118000.0,ARS,14744.1,45.0,2.0,,http://www.properati.com.ar/exjo_venta_departamento_caballito
57817,2014-04-18,PH,Parque Chacabuco,|Argentina|Capital Federal|Parque Chacabuco|,,,134000.0,USD,134000.0,109.0,3.0,,http://www.properati.com.ar/exjp_venta_ph_parque-chacabuco
57818,2014-04-18,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.619508,-58.43650600000001,188000.0,USD,188000.0,91.0,4.0,,http://www.properati.com.ar/exjr_venta_departamento_caballito
57819,2014-04-18,PH,Chacarita,|Argentina|Capital Federal|Chacarita|,-34.594118,-58.455093000000005,197000.0,USD,197000.0,160.0,4.0,,http://www.properati.com.ar/exjs_venta_ph_chacarita
57820,2014-04-18,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,-34.59147,-58.386029,380000.0,USD,380000.0,119.0,4.0,,http://www.properati.com.ar/exjt_venta_departamento_recoleta
57821,2014-04-18,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.616552,-58.42988100000001,152000.0,USD,152000.0,80.0,3.0,,http://www.properati.com.ar/exju_venta_departamento_caballito
57822,2014-04-18,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.616667,-58.45,360000.0,USD,360000.0,169.0,4.0,,http://www.properati.com.ar/exjw_venta_departamento_caballito
57823,2014-04-18,apartment,Flores,|Argentina|Capital Federal|Flores|,-34.628069,-58.469368,142000.0,USD,142000.0,82.0,3.0,,http://www.properati.com.ar/exjx_venta_departamento_flores
57824,2014-04-18,apartment,Floresta,|Argentina|Capital Federal|Floresta|,-34.635909000000005,-58.479604,79500.0,USD,79500.0,47.0,2.0,,http://www.properati.com.ar/exjz_venta_departamento_floresta
57825,2014-04-18,apartment,Floresta,|Argentina|Capital Federal|Floresta|,-34.637889,-58.477376,55000.0,USD,55000.0,26.0,1.0,,http://www.properati.com.ar/exk0_venta_departamento_floresta
57826,2014-04-18,PH,Floresta,|Argentina|Capital Federal|Floresta|,-34.628246999999995,-58.484411,150000.0,USD,150000.0,141.0,4.0,,http://www.properati.com.ar/exk2_venta_ph_floresta
57827,2014-04-18,apartment,Caballito,|Argentina|Capital Federal|Caballito|,-34.607432,-58.446985,81000.0,USD,81000.0,50.0,3.0,,http://www.properati.com.ar/exk3_venta_departamento_caballito
